id,cluster,accident_year,latitude,longitude,n_serious,n_fatal,danger_rank,gmaps_link,date,time,junction_detail,junction_control
2018010106417,412,2018,51.515089,-0.136233,1,0,79.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.515089+-0.136233,2018-05-08,02:30,T or staggered junction,Give way or uncontrolled
2018010120469,412,2018,51.515089,-0.136233,1,0,79.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.515089+-0.136233,2018-06-20,07:00,Crossroads,unknown (self reported)
2018010132205,412,2018,51.515091,-0.136377,1,0,79.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.515091+-0.136377,2018-09-12,18:47,Crossroads,Give way or uncontrolled
200801MM70737,434,2008,51.498697,-0.055069,1,0,80.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.498697+-0.055069,2008-08-18,18:00,Roundabout,Give way or uncontrolled
201301MM70177,434,2013,51.498528,-0.055653,1,0,80.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.498528+-0.055653,2013-03-18,19:30,Roundabout,Give way or uncontrolled
2017010058182,434,2017,51.498753,-0.055064,1,0,80.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.498753+-0.055064,2017-09-10,20:42,Roundabout,Give way or uncontrolled
2017010066169,434,2017,51.498394,-0.055079,1,0,80.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.498394+-0.055079,2017-10-19,17:45,Roundabout,Give way or uncontrolled
2018010097306,434,2018,51.498663,-0.055068,1,0,80.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.498663+-0.055068,2018-03-20,16:20,Roundabout,Give way or uncontrolled
2019010166140,434,2019,51.498689,-0.055009,1,0,80.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.498689+-0.055009,2019-02-28,15:48,Roundabout,Give way or uncontrolled
201301HT20820,535,2013,51.534891,-0.063043,1,0,81.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534891+-0.063043,2013-10-23,23:30,Crossroads,Give way or uncontrolled
201301TA00006,535,2013,51.534891,-0.063043,1,0,81.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534891+-0.063043,2013-01-09,14:30,Crossroads,Give way or uncontrolled
201501GD10641,535,2015,51.534944,-0.063064,1,0,81.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534944+-0.063064,2015-08-11,07:30,T or staggered junction,Give way or uncontrolled
2016010000303,535,2016,51.534896,-0.063331,1,0,81.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534896+-0.063331,2016-11-03,20:00,T or staggered junction,Auto traffic signal
201601GD10480,535,2016,51.534891,-0.063043,1,0,81.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534891+-0.063043,2016-06-22,01:09,Crossroads,Auto traffic signal
201601GD10655,535,2016,51.534891,-0.063043,1,0,81.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534891+-0.063043,2016-08-16,15:54,Crossroads,Auto traffic signal
200001NI09006,74,2000,51.52691,-0.108506,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52691+-0.108506,2000-12-21,19:22,Crossroads,Give way or uncontrolled
200101NI01351,74,2001,51.52682,-0.10851,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52682+-0.10851,2001-11-24,08:40,Crossroads,Give way or uncontrolled
200501TC00242,74,2005,51.52682,-0.10851,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52682+-0.10851,2005-06-13,09:45,Crossroads,Auto traffic signal
200701EO40416,74,2007,51.52682,-0.10851,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52682+-0.10851,2007-05-02,15:50,Crossroads,Auto traffic signal
201101TB01148,74,2011,51.52682,-0.10851,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52682+-0.10851,2011-07-01,00:30,Crossroads,Give way or uncontrolled
201201TB00824,74,2012,51.52682,-0.10851,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52682+-0.10851,2012-08-05,23:40,Crossroads,Auto traffic signal
201301EO40662,74,2013,51.526465,-0.108813,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.526465+-0.108813,2013-10-19,10:05,Crossroads,Give way or uncontrolled
2019010180524,74,2019,51.526674,-0.108815,1,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.526674+-0.108815,2019-05-13,08:46,Crossroads,Give way or uncontrolled
200301CP00199,210,2003,51.516043,-0.081715,1,0,83.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.516043+-0.081715,2003-08-15,06:25,Crossroads,Auto traffic signal
200401CP00261,210,2004,51.515953,-0.081719,1,0,83.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.515953+-0.081719,2004-11-04,08:55,Crossroads,Auto traffic signal
201101CP00263,210,2011,51.515955,-0.081863,1,0,83.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.515955+-0.081863,2011-09-09,07:55,Crossroads,Auto traffic signal
201201CP00045,210,2012,51.516043,-0.081715,0,1,83.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.516043+-0.081715,2012-02-03,13:05,Crossroads,Auto traffic signal
2016480061019,210,2016,51.516041,-0.081572,1,0,83.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.516041+-0.081572,2016-03-18,09:49,Crossroads,Auto traffic signal
201101FH10359,488,2011,51.470818,-0.2073,1,0,84.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.470818+-0.2073,2011-08-02,07:40,Crossroads,Give way or uncontrolled
201401FH10603,488,2014,51.470731,-0.207448,1,0,84.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.470731+-0.207448,2014-10-20,16:00,Crossroads,Give way or uncontrolled
201501TD00139,488,2015,51.470786,-0.207466,0,1,84.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.470786+-0.207466,2015-11-09,18:49,Crossroads,Give way or uncontrolled
201601FH10285,488,2016,51.470733,-0.207592,1,0,84.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.470733+-0.207592,2016-05-28,09:05,Crossroads,Give way or uncontrolled
201301CP00222,529,2013,51.513702,-0.076049,1,0,85.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.513702+-0.076049,2013-08-05,11:00,T or staggered junction,Auto traffic signal
201301CP00228,529,2013,51.513627,-0.076917,0,1,85.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.513627+-0.076917,2013-09-15,07:55,Roundabout,Auto traffic signal
201501CP00040,529,2015,51.51386,-0.07693,1,0,85.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51386+-0.07693,2015-02-11,07:47,Crossroads,Auto traffic signal
2019480927951,529,2019,51.513507,-0.076659,1,0,85.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.513507+-0.076659,2019-11-05,07:02,T or staggered junction,Give way or uncontrolled
200701TA00011,399,2007,51.485197,-0.137455,1,0,86.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.485197+-0.137455,2007-02-05,17:28,T or staggered junction,Auto traffic signal
201301CW11381,399,2013,51.485278,-0.136876,1,0,86.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.485278+-0.136876,2013-10-07,08:55,T or staggered junction,Give way or uncontrolled
201501CW10512,399,2015,51.485332,-0.136896,1,0,86.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.485332+-0.136896,2015-04-10,15:45,T or staggered junction,Give way or uncontrolled
201501CW10816,399,2015,51.485332,-0.136896,1,0,86.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.485332+-0.136896,2015-06-15,08:40,T or staggered junction,Give way or uncontrolled
2018010140676,399,2018,51.485241,-0.136731,1,0,86.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.485241+-0.136731,2018-10-22,16:45,T or staggered junction,Give way or uncontrolled
2020010233313,399,2020,51.485241,-0.137307,1,0,86.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.485241+-0.137307,2020-01-29,09:22,T or staggered junction,Auto traffic signal
200501BS70380,293,2005,51.506097,-0.209086,1,0,87.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.506097+-0.209086,2005-07-20,23:00,T or staggered junction,Give way or uncontrolled
200601BS70613,293,2006,51.506187,-0.209082,1,0,87.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.506187+-0.209082,2006-10-10,08:25,T or staggered junction,Give way or uncontrolled
200701BS64157,293,2007,51.506187,-0.209082,1,0,87.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.506187+-0.209082,2007-06-05,21:35,T or staggered junction,Give way or uncontrolled
200701BS70379,293,2007,51.506187,-0.209082,1,0,87.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.506187+-0.209082,2007-07-17,17:35,T or staggered junction,Give way or uncontrolled
